FBtr0087645	FBtr0259856	98.755	241	3	0	1	241	1	241	2.46e-179	491
FBtr0087637	FBtr0259083	96.884	353	10	1	1	352	1	353	0.0	715
FBtr0345801	FBtr0259858	95.588	340	15	0	1	340	3	342	0.0	681
FBtr0087646	FBtr0259858	95.588	340	15	0	1	340	3	342	0.0	681
FBtr0087638	FBtr0396807	63.776	196	65	2	1	196	1	190	8.81e-79	250
FBtr0087638	FBtr0396807	40.940	149	68	4	219	352	23	166	1.33e-25	108
FBtr0087638	FBtr0396807	53.659	82	38	0	343	424	67	148	1.20e-24	105
FBtr0087638	FBtr0396807	40.541	111	60	3	158	263	67	176	5.95e-20	91.7
FBtr0331382	FBtr0259086	63.358	816	245	11	110	894	304	1096	0.0	968
FBtr0331382	FBtr0259086	50.472	212	89	5	1	204	97	300	2.37e-46	180
FBtr0087640	FBtr0259087	73.774	999	226	13	1	975	1	987	0.0	1412
