seq_id	start	end	seq_id2	start2	end2
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	4676	8266	qry::NC_052527.2	4659	6586
ref::NT_033779.5	13159	14596	qry::NC_052527.2	11311	12564
ref::NT_033779.5	13107	14581	qry::NC_052527.2	11311	12564
ref::NT_033779.5	8755	9624	qry::NC_052527.2	6623	7504
ref::NT_033779.5	3000	4576	qry::NC_052527.2	3000	4459
ref::NT_033779.5	3000	4451	qry::NC_052527.2	3000	4459
